id,tick,source,topic,content_text,stance,identity_threat,political_salience,primal_triggers,primal_intensity,media_type,creator_id,outlet_id,community_id
stim_123,15,GlobalNews,T_EDUCATION,T_EDUCATION update from GlobalNews: signal -0.27,-0.270,0.130,0.600,"emotion,contrast",0.320,news,CreatorE,GlobalNews,
stim_569,15,GreenLens,T_HEALTHCARE,T_HEALTHCARE update from GreenLens: signal -0.16,-0.160,0.116,0.750,"visual,tangible",0.661,social_post,CreatorA,GreenLens,
stim_1,16,WorldDaily,T_SCIENCE,T_SCIENCE update from WorldDaily: signal -0.00,-0.004,0.001,0.200,"personal,visual,memorable",0.822,social_post,CreatorB,WorldDaily,
stim_373,16,MarketWatch,T_POLITICS,T_POLITICS update from MarketWatch: signal +0.55,0.552,0.394,0.900,,,news,,,
stim_398,16,PolicyForum,T_EDUCATION,T_EDUCATION update from PolicyForum: signal +0.29,0.294,0.115,0.600,contrast,0.314,social_post,CreatorA,,
stim_108,19,PublicRadio,T_CULTURE,T_CULTURE update from PublicRadio: signal -0.42,-0.425,0.239,0.700,"emotion,visual",0.838,news,,,
stim_241,19,PolicyForum,T_SCIENCE,T_SCIENCE update from PolicyForum: signal -0.36,-0.364,0.060,0.200,"contrast,memorable",0.380,longform,CreatorB,PolicyForum,Artists
stim_30,19,GlobalNews,T_LOCAL,T_LOCAL update from GlobalNews: signal +0.13,0.131,0.012,0.100,contrast,0.100,news,CreatorD,GlobalNews,
stim_306,20,GlobalNews,T_HEALTHCARE,T_HEALTHCARE update from GlobalNews: signal -0.29,-0.285,0.206,0.750,"visual,contrast",0.310,news,,GlobalNews,
stim_122,21,WorldDaily,T_EDUCATION,T_EDUCATION update from WorldDaily: signal -0.72,-0.725,0.290,0.600,"tangible,memorable",0.606,video,,,
stim_322,21,MarketWatch,T_ABORTION,T_ABORTION update from MarketWatch: signal +0.14,0.137,0.092,0.950,,,news,,MarketWatch,
stim_499,21,GreenLens,T_ECONOMY,T_ECONOMY update from GreenLens: signal -0.09,-0.086,0.037,0.700,memorable,0.403,forum_thread,CreatorA,GreenLens,
stim_326,22,CityWire,T_IMMIGRATION,T_IMMIGRATION update from CityWire: signal +0.22,0.219,0.165,0.900,"memorable,personal,contrast",0.296,meme,CreatorE,CityWire,
stim_137,23,GlobalNews,T_HEALTHCARE,T_HEALTHCARE update from GlobalNews: signal -0.03,-0.031,0.018,0.750,emotion,0.365,news,CreatorE,GlobalNews,
stim_600,24,CommunityBoard,T_IMMIGRATION,T_IMMIGRATION update from CommunityBoard: signal +0.05,0.054,0.047,0.900,,,news,CreatorD,CommunityBoard,
stim_136,25,GreenLens,T_ECONOMY,T_ECONOMY update from GreenLens: signal -0.35,-0.350,0.204,0.700,,,longform,CreatorE,,
stim_168,26,PolicyForum,T_HEALTH,T_HEALTH update from PolicyForum: signal -0.20,-0.200,0.033,0.200,,,news,CreatorF,PolicyForum,Tech
stim_249,27,SecurityBrief,T_TAXES,T_TAXES update from SecurityBrief: signal +1.00,1.000,0.466,0.700,contrast,0.592,forum_thread,CreatorB,,
stim_174,30,PublicRadio,T_WEATHER,T_WEATHER update from PublicRadio: signal +0.01,0.014,0.000,0.050,"memorable,tangible",0.811,forum_thread,,PublicRadio,
stim_103,31,GlobalNews,T_HEALTHCARE,T_HEALTHCARE update from GlobalNews: signal -0.02,-0.021,0.015,0.750,"emotion,contrast,tangible",0.314,meme,CreatorC,,Sports
stim_576,31,SecurityBrief,T_IMMIGRATION,T_IMMIGRATION update from SecurityBrief: signal +0.77,0.773,0.532,0.900,,,news,CreatorB,SecurityBrief,
stim_128,33,GlobalNews,T_ABORTION,T_ABORTION update from GlobalNews: signal -0.22,-0.217,0.190,0.950,"contrast,visual,personal",0.436,video,CreatorF,GlobalNews,
stim_260,33,PolicyForum,T_HEALTHCARE,T_HEALTHCARE update from PolicyForum: signal -0.42,-0.423,0.256,0.750,,,news,CreatorE,PolicyForum,
stim_14,34,CommunityBoard,T_TAXES,T_TAXES update from CommunityBoard: signal +0.21,0.214,0.132,0.700,contrast,0.487,social_post,,,Local
stim_492,34,WorldDaily,T_TECH,T_TECH update from WorldDaily: signal -0.35,-0.349,0.047,0.200,"emotion,contrast,personal",0.618,meme,,WorldDaily,
stim_591,35,MarketWatch,T_EDUCATION,T_EDUCATION update from MarketWatch: signal +0.10,0.103,0.058,0.600,personal,0.631,longform,CreatorD,MarketWatch,
stim_248,37,WorldDaily,T_POLITICS,T_POLITICS update from WorldDaily: signal +0.14,0.138,0.090,0.900,,,news,CreatorD,WorldDaily,Tech
stim_304,37,PublicRadio,T_SCIENCE,T_SCIENCE update from PublicRadio: signal -0.54,-0.545,0.093,0.200,"tangible,memorable,emotion",0.303,video,,PublicRadio,Sports
stim_340,37,MarketWatch,T_TAXES,T_TAXES update from MarketWatch: signal +0.28,0.277,0.189,0.700,"personal,tangible,contrast",0.421,meme,,MarketWatch,Faith
stim_479,39,CityWire,T_IMMIGRATION,T_IMMIGRATION update from CityWire: signal +0.52,0.525,0.452,0.900,"personal,emotion",0.403,social_post,CreatorC,CityWire,Sports
stim_121,40,PolicyForum,T_GUNS,T_GUNS update from PolicyForum: signal +0.09,0.089,0.078,0.900,"tangible,personal,memorable",0.506,social_post,CreatorB,PolicyForum,
stim_353,40,TrendTalk,T_WEATHER,T_WEATHER update from TrendTalk: signal +0.25,0.245,0.009,0.050,,,longform,CreatorB,TrendTalk,
stim_546,41,CityWire,T_EDUCATION,T_EDUCATION update from CityWire: signal -0.56,-0.564,0.218,0.600,"contrast,personal",0.828,meme,CreatorF,CityWire,
stim_41,42,PublicRadio,T_WEATHER,T_WEATHER update from PublicRadio: signal -0.76,-0.761,0.037,0.050,"visual,personal,memorable",0.253,meme,,PublicRadio,
stim_504,42,CityWire,T_ABORTION,T_ABORTION update from CityWire: signal +0.59,0.590,0.494,0.950,"emotion,personal",0.756,longform,CreatorA,CityWire,
stim_49,43,CommunityBoard,T_ENTERTAINMENT,T_ENTERTAINMENT update from CommunityBoard: signal +0.01,0.011,0.001,0.100,,,news,CreatorD,CommunityBoard,
stim_255,44,GreenLens,T_EDUCATION,T_EDUCATION update from GreenLens: signal +0.09,0.092,0.051,0.600,"tangible,personal",0.495,social_post,CreatorD,GreenLens,
stim_487,44,MarketWatch,T_HEALTHCARE,T_HEALTHCARE update from MarketWatch: signal +0.18,0.175,0.089,0.750,visual,0.676,video,,MarketWatch,
stim_259,45,PublicRadio,T_MEMES,T_MEMES update from PublicRadio: signal +0.03,0.032,0.003,0.100,"tangible,emotion",0.464,video,CreatorB,,
stim_358,45,CommunityBoard,T_WEATHER,T_WEATHER update from CommunityBoard: signal -0.06,-0.057,0.002,0.050,tangible,0.357,forum_thread,CreatorC,CommunityBoard,Civic
stim_432,45,PolicyForum,T_SECURITY,T_SECURITY update from PolicyForum: signal -0.25,-0.250,0.144,0.800,"emotion,tangible",0.311,video,,PolicyForum,
stim_112,46,CommunityBoard,T_TECH,T_TECH update from CommunityBoard: signal -0.13,-0.130,0.018,0.200,"contrast,memorable",0.831,news,,CommunityBoard,
stim_330,47,SecurityBrief,T_SPORTS,T_SPORTS update from SecurityBrief: signal -0.33,-0.331,0.027,0.100,,,longform,CreatorB,,
stim_283,48,CityWire,T_POLITICS,T_POLITICS update from CityWire: signal +0.58,0.581,0.389,0.900,"tangible,memorable,personal",0.222,social_post,,,Sports
stim_213,52,CityWire,T_IMMIGRATION,T_IMMIGRATION update from CityWire: signal +0.48,0.485,0.383,0.900,"personal,contrast",0.260,meme,CreatorC,,Sports
stim_496,52,PublicRadio,T_SCIENCE,T_SCIENCE update from PublicRadio: signal -0.52,-0.521,0.074,0.200,memorable,0.264,longform,CreatorE,PublicRadio,Tech
stim_53,52,WorldDaily,T_SPORTS,T_SPORTS update from WorldDaily: signal -0.42,-0.416,0.041,0.100,"tangible,contrast",0.283,news,,WorldDaily,
stim_285,53,GreenLens,T_HEALTH,T_HEALTH update from GreenLens: signal -0.14,-0.140,0.018,0.200,"personal,contrast",0.421,forum_thread,CreatorE,GreenLens,
stim_191,55,GreenLens,T_HEALTHCARE,T_HEALTHCARE update from GreenLens: signal +0.50,0.496,0.327,0.750,"visual,personal",0.620,longform,,GreenLens,
stim_231,55,PolicyForum,T_WEATHER,T_WEATHER update from PolicyForum: signal -0.09,-0.094,0.005,0.050,visual,0.543,video,CreatorB,PolicyForum,
stim_28,55,GlobalNews,T_WEATHER,T_WEATHER update from GlobalNews: signal -0.10,-0.095,0.004,0.050,"memorable,contrast",0.463,social_post,CreatorA,,Artists
stim_508,55,PolicyForum,T_WEATHER,T_WEATHER update from PolicyForum: signal -0.33,-0.329,0.014,0.050,"memorable,visual",0.438,meme,CreatorD,PolicyForum,
stim_552,55,CommunityBoard,T_SECURITY,T_SECURITY update from CommunityBoard: signal +0.33,0.328,0.189,0.800,visual,0.554,meme,,CommunityBoard,
stim_388,56,CityWire,T_TECH,T_TECH update from CityWire: signal -0.16,-0.164,0.020,0.200,"contrast,tangible",0.807,forum_thread,CreatorD,CityWire,Local
stim_532,56,PublicRadio,T_ABORTION,T_ABORTION update from PublicRadio: signal -0.35,-0.350,0.241,0.950,,,news,CreatorE,PublicRadio,
stim_573,56,GlobalNews,T_SCIENCE,T_SCIENCE update from GlobalNews: signal -0.22,-0.217,0.040,0.200,"memorable,visual",0.418,longform,,,Campus
stim_85,56,TrendTalk,T_CULTURE,T_CULTURE update from TrendTalk: signal -0.32,-0.322,0.224,0.700,"tangible,contrast",1.000,news,,TrendTalk,Local
stim_286,57,GreenLens,T_TAXES,T_TAXES update from GreenLens: signal -0.58,-0.583,0.389,0.700,"contrast,memorable,visual",0.243,video,,GreenLens,Campus
stim_386,57,MarketWatch,T_MEMES,T_MEMES update from MarketWatch: signal +0.23,0.228,0.016,0.100,tangible,0.396,news,,MarketWatch,
stim_459,58,PublicRadio,T_TAXES,T_TAXES update from PublicRadio: signal +0.02,0.023,0.010,0.700,,,longform,CreatorE,PublicRadio,
stim_477,58,CommunityBoard,T_CULTURE,T_CULTURE update from CommunityBoard: signal -0.38,-0.377,0.165,0.700,"contrast,emotion",0.647,forum_thread,,CommunityBoard,
stim_95,58,SecurityBrief,T_ENTERTAINMENT,T_ENTERTAINMENT update from SecurityBrief: signal +0.54,0.537,0.041,0.100,"memorable,emotion",0.451,forum_thread,CreatorA,SecurityBrief,
stim_395,60,GreenLens,T_SPORTS,T_SPORTS update from GreenLens: signal -0.68,-0.678,0.058,0.100,"contrast,tangible,personal",0.100,social_post,CreatorB,GreenLens,
stim_293,61,PublicRadio,T_SCIENCE,T_SCIENCE update from PublicRadio: signal -0.00,-0.003,0.000,0.200,"emotion,memorable,personal",0.496,meme,,PublicRadio,
stim_51,61,PolicyForum,T_LOCAL,T_LOCAL update from PolicyForum: signal -0.14,-0.137,0.009,0.100,"contrast,tangible",0.549,forum_thread,,,
stim_579,61,CityWire,T_LOCAL,T_LOCAL update from CityWire: signal +0.02,0.016,0.002,0.100,,,longform,CreatorC,CityWire,Campus
stim_134,62,GreenLens,T_LOCAL,T_LOCAL update from GreenLens: signal -0.27,-0.272,0.017,0.100,memorable,0.260,social_post,CreatorB,GreenLens,Veterans
stim_36,62,CityWire,T_POLITICS,T_POLITICS update from CityWire: signal +0.35,0.353,0.218,0.900,"visual,memorable,personal",0.100,meme,CreatorD,CityWire,
stim_364,62,WorldDaily,T_SCIENCE,T_SCIENCE update from WorldDaily: signal +0.26,0.255,0.035,0.200,"memorable,personal",0.598,meme,,WorldDaily,
stim_462,64,CityWire,T_CULTURE,T_CULTURE update from CityWire: signal -0.52,-0.523,0.281,0.700,emotion,0.159,forum_thread,CreatorF,CityWire,
stim_498,65,GlobalNews,T_ENVIRONMENT,T_ENVIRONMENT update from GlobalNews: signal -0.58,-0.579,0.428,0.800,,,forum_thread,,GlobalNews,Sports
stim_541,65,PublicRadio,T_HEALTH,T_HEALTH update from PublicRadio: signal -0.21,-0.214,0.031,0.200,"memorable,contrast",0.489,news,CreatorC,PublicRadio,
stim_25,66,WorldDaily,T_ABORTION,T_ABORTION update from WorldDaily: signal -0.09,-0.092,0.055,0.950,tangible,0.673,news,,WorldDaily,
stim_303,66,PublicRadio,T_TECH,T_TECH update from PublicRadio: signal -0.07,-0.067,0.008,0.200,"visual,tangible",0.400,social_post,CreatorC,PublicRadio,
stim_547,66,PolicyForum,T_SCIENCE,T_SCIENCE update from PolicyForum: signal -0.33,-0.328,0.048,0.200,"emotion,visual",0.100,news,CreatorA,,Civic
stim_212,67,GreenLens,T_MEMES,T_MEMES update from GreenLens: signal -0.17,-0.168,0.012,0.100,,,forum_thread,,GreenLens,
stim_118,68,PolicyForum,T_POLITICS,T_POLITICS update from PolicyForum: signal -0.17,-0.169,0.130,0.900,"emotion,tangible",0.769,news,CreatorE,PolicyForum,
stim_155,68,CityWire,T_ENTERTAINMENT,T_ENTERTAINMENT update from CityWire: signal +0.35,0.353,0.030,0.100,,,forum_thread,CreatorD,CityWire,
stim_332,68,PolicyForum,T_WEATHER,T_WEATHER update from PolicyForum: signal +0.41,0.407,0.019,0.050,"personal,memorable",0.100,longform,CreatorB,,Veterans
stim_186,69,PolicyForum,T_ECONOMY,T_ECONOMY update from PolicyForum: signal +0.88,0.875,0.489,0.700,"contrast,memorable,personal",0.390,video,CreatorD,PolicyForum,
stim_243,69,PolicyForum,T_TECH,T_TECH update from PolicyForum: signal +0.22,0.222,0.043,0.200,visual,0.636,forum_thread,,PolicyForum,
stim_272,70,GreenLens,T_ENVIRONMENT,T_ENVIRONMENT update from GreenLens: signal -1.00,-1.000,0.759,0.800,,,news,,GreenLens,
stim_380,70,CommunityBoard,T_ENVIRONMENT,T_ENVIRONMENT update from CommunityBoard: signal -0.38,-0.381,0.251,0.800,"contrast,personal",0.682,longform,CreatorE,CommunityBoard,Faith
stim_435,70,GlobalNews,T_ECONOMY,T_ECONOMY update from GlobalNews: signal +0.13,0.128,0.069,0.700,personal,0.273,social_post,,GlobalNews,
stim_489,73,SecurityBrief,T_WEATHER,T_WEATHER update from SecurityBrief: signal +0.46,0.455,0.015,0.050,"memorable,emotion,contrast",0.638,video,CreatorD,,
stim_506,73,SecurityBrief,T_EDUCATION,T_EDUCATION update from SecurityBrief: signal +0.71,0.708,0.273,0.600,visual,0.454,forum_thread,CreatorF,SecurityBrief,Sports
stim_93,73,WorldDaily,T_EDUCATION,T_EDUCATION update from WorldDaily: signal -0.83,-0.833,0.336,0.600,"tangible,emotion",0.425,news,,WorldDaily,Civic
stim_171,74,PolicyForum,T_ABORTION,T_ABORTION update from PolicyForum: signal +0.00,0.001,0.001,0.950,emotion,0.650,social_post,CreatorE,,
stim_321,74,CommunityBoard,T_SPORTS,T_SPORTS update from CommunityBoard: signal -0.15,-0.147,0.011,0.100,visual,0.778,social_post,,CommunityBoard,
stim_349,76,MarketWatch,T_ENTERTAINMENT,T_ENTERTAINMENT update from MarketWatch: signal -0.12,-0.122,0.009,0.100,contrast,0.808,longform,CreatorA,MarketWatch,
stim_417,76,MarketWatch,T_POLITICS,T_POLITICS update from MarketWatch: signal -0.05,-0.047,0.041,0.900,personal,0.170,longform,CreatorA,MarketWatch,
stim_542,77,TrendTalk,T_ENVIRONMENT,T_ENVIRONMENT update from TrendTalk: signal -0.05,-0.047,0.030,0.800,"contrast,tangible",0.481,video,,,
stim_250,78,WorldDaily,T_HEALTHCARE,T_HEALTHCARE update from WorldDaily: signal -0.25,-0.251,0.117,0.750,"visual,memorable",0.644,forum_thread,CreatorA,WorldDaily,Artists
stim_567,78,SecurityBrief,T_ENVIRONMENT,T_ENVIRONMENT update from SecurityBrief: signal -0.98,-0.982,0.628,0.800,,,longform,,SecurityBrief,Local
stim_586,78,CityWire,T_ECONOMY,T_ECONOMY update from CityWire: signal +0.08,0.084,0.048,0.700,contrast,0.640,news,CreatorD,CityWire,Campus
stim_223,80,SecurityBrief,T_ECONOMY,T_ECONOMY update from SecurityBrief: signal +0.37,0.365,0.206,0.700,memorable,0.577,meme,CreatorA,,
stim_325,80,SecurityBrief,T_SPORTS,T_SPORTS update from SecurityBrief: signal +0.30,0.303,0.022,0.100,contrast,0.739,social_post,CreatorF,,
stim_58,84,GreenLens,T_MEMES,T_MEMES update from GreenLens: signal +0.24,0.245,0.020,0.100,"contrast,tangible",0.536,news,,GreenLens,
stim_254,85,TrendTalk,T_HEALTHCARE,T_HEALTHCARE update from TrendTalk: signal +0.15,0.147,0.108,0.750,contrast,0.488,forum_thread,,,Veterans
stim_482,85,PublicRadio,T_ENTERTAINMENT,T_ENTERTAINMENT update from PublicRadio: signal -0.35,-0.349,0.024,0.100,"tangible,personal",0.598,video,,PublicRadio,
stim_98,87,TrendTalk,T_WEATHER,T_WEATHER update from TrendTalk: signal -0.14,-0.137,0.006,0.050,"tangible,personal",0.100,meme,,TrendTalk,
stim_458,88,SecurityBrief,T_CULTURE,T_CULTURE update from SecurityBrief: signal +0.19,0.186,0.079,0.700,"personal,contrast",0.468,forum_thread,,,
stim_152,89,WorldDaily,T_ABORTION,T_ABORTION update from WorldDaily: signal +0.22,0.223,0.194,0.950,"emotion,contrast",0.801,forum_thread,,WorldDaily,
stim_244,89,PolicyForum,T_HEALTH,T_HEALTH update from PolicyForum: signal +0.33,0.326,0.058,0.200,"emotion,visual,tangible",0.545,social_post,CreatorF,PolicyForum,Civic
stim_526,89,GreenLens,T_TAXES,T_TAXES update from GreenLens: signal -0.08,-0.081,0.039,0.700,,,forum_thread,CreatorC,GreenLens,Civic
stim_240,90,MarketWatch,T_SCIENCE,T_SCIENCE update from MarketWatch: signal +0.56,0.556,0.083,0.200,,,longform,CreatorC,,
stim_511,90,CityWire,T_GUNS,T_GUNS update from CityWire: signal -0.20,-0.202,0.141,0.900,personal,0.621,meme,,,
stim_309,91,PublicRadio,T_TECH,T_TECH update from PublicRadio: signal -0.35,-0.354,0.045,0.200,,,news,,PublicRadio,
stim_509,91,GlobalNews,T_ECONOMY,T_ECONOMY update from GlobalNews: signal +0.79,0.788,0.441,0.700,,,news,CreatorF,GlobalNews,
stim_107,92,CommunityBoard,T_SPORTS,T_SPORTS update from CommunityBoard: signal -0.22,-0.223,0.017,0.100,tangible,0.333,news,,CommunityBoard,
stim_314,92,CommunityBoard,T_EDUCATION,T_EDUCATION update from CommunityBoard: signal -0.30,-0.296,0.118,0.600,visual,0.567,social_post,,CommunityBoard,Artists
stim_284,93,PolicyForum,T_SPORTS,T_SPORTS update from PolicyForum: signal +0.84,0.837,0.059,0.100,"personal,tangible,visual",0.193,video,CreatorD,,Veterans
stim_354,94,WorldDaily,T_WEATHER,T_WEATHER update from WorldDaily: signal +0.06,0.060,0.003,0.050,"memorable,emotion,contrast",0.100,meme,,WorldDaily,Faith
stim_396,94,GreenLens,T_WEATHER,T_WEATHER update from GreenLens: signal -0.60,-0.601,0.023,0.050,"emotion,tangible,contrast",0.517,video,CreatorE,GreenLens,
stim_362,95,PublicRadio,T_POLITICS,T_POLITICS update from PublicRadio: signal -0.23,-0.227,0.202,0.900,,,news,,PublicRadio,Artists
stim_391,95,CommunityBoard,T_GUNS,T_GUNS update from CommunityBoard: signal -0.06,-0.062,0.036,0.900,memorable,0.665,forum_thread,CreatorD,CommunityBoard,
stim_436,95,TrendTalk,T_WEATHER,T_WEATHER update from TrendTalk: signal -0.30,-0.303,0.014,0.050,"tangible,contrast",0.559,social_post,CreatorA,TrendTalk,
stim_19,97,CommunityBoard,T_GUNS,T_GUNS update from CommunityBoard: signal +0.23,0.229,0.183,0.900,,,forum_thread,CreatorA,CommunityBoard,
stim_556,97,WorldDaily,T_WEATHER,T_WEATHER update from WorldDaily: signal -0.77,-0.768,0.025,0.050,,,news,CreatorA,WorldDaily,Civic
stim_144,98,CommunityBoard,T_HEALTH,T_HEALTH update from CommunityBoard: signal -0.50,-0.503,0.095,0.200,"emotion,tangible,memorable",0.414,video,,CommunityBoard,Faith
stim_35,99,MarketWatch,T_POLITICS,T_POLITICS update from MarketWatch: signal +0.71,0.705,0.536,0.900,memorable,0.258,meme,,MarketWatch,
stim_468,99,PublicRadio,T_GUNS,T_GUNS update from PublicRadio: signal +0.66,0.660,0.577,0.900,"contrast,memorable",0.345,social_post,,,Sports
stim_130,100,WorldDaily,T_SPORTS,T_SPORTS update from WorldDaily: signal +0.33,0.330,0.023,0.100,"tangible,personal,emotion",0.898,social_post,,WorldDaily,Faith
stim_302,100,MarketWatch,T_HEALTH,T_HEALTH update from MarketWatch: signal +0.06,0.058,0.010,0.200,"emotion,visual",0.223,forum_thread,,,Sports
stim_318,100,WorldDaily,T_IMMIGRATION,T_IMMIGRATION update from WorldDaily: signal -0.01,-0.006,0.005,0.900,"contrast,visual",0.460,meme,CreatorF,WorldDaily,Civic
stim_234,101,PublicRadio,T_ECONOMY,T_ECONOMY update from PublicRadio: signal +0.81,0.807,0.561,0.700,,,news,,PublicRadio,
stim_315,101,WorldDaily,T_TECH,T_TECH update from WorldDaily: signal -0.30,-0.298,0.037,0.200,,,forum_thread,,WorldDaily,
stim_226,102,SecurityBrief,T_TECH,T_TECH update from SecurityBrief: signal +0.29,0.294,0.037,0.200,"personal,tangible",0.329,video,CreatorC,SecurityBrief,Campus
stim_422,102,CommunityBoard,T_TECH,T_TECH update from CommunityBoard: signal -0.00,-0.002,0.000,0.200,"contrast,tangible",0.457,forum_thread,CreatorC,CommunityBoard,
stim_467,102,PolicyForum,T_EDUCATION,T_EDUCATION update from PolicyForum: signal +0.04,0.037,0.020,0.600,"contrast,personal",0.517,social_post,CreatorB,PolicyForum,
stim_520,102,CommunityBoard,T_EDUCATION,T_EDUCATION update from CommunityBoard: signal -0.43,-0.435,0.246,0.600,visual,0.490,longform,CreatorB,CommunityBoard,
stim_77,102,PolicyForum,T_TAXES,T_TAXES update from PolicyForum: signal +0.92,0.920,0.471,0.700,contrast,0.822,forum_thread,CreatorE,,
stim_204,105,CityWire,T_HEALTH,T_HEALTH update from CityWire: signal -0.41,-0.408,0.056,0.200,"visual,tangible,memorable",0.555,social_post,,,
stim_563,107,PublicRadio,T_SPORTS,T_SPORTS update from PublicRadio: signal +0.18,0.176,0.016,0.100,"tangible,contrast",0.694,social_post,,,
stim_56,108,WorldDaily,T_WEATHER,T_WEATHER update from WorldDaily: signal -0.38,-0.376,0.016,0.050,"emotion,personal",0.629,longform,CreatorA,WorldDaily,Tech
stim_503,109,SecurityBrief,T_SPORTS,T_SPORTS update from SecurityBrief: signal +0.46,0.463,0.034,0.100,memorable,0.467,forum_thread,,SecurityBrief,
stim_572,109,MarketWatch,T_WEATHER,T_WEATHER update from MarketWatch: signal +0.58,0.575,0.022,0.050,"emotion,contrast,tangible",0.625,video,CreatorE,MarketWatch,
stim_486,112,SecurityBrief,T_ECONOMY,T_ECONOMY update from SecurityBrief: signal +0.50,0.497,0.228,0.700,"personal,tangible",0.774,news,CreatorA,SecurityBrief,
stim_561,112,GlobalNews,T_GUNS,T_GUNS update from GlobalNews: signal +0.30,0.296,0.196,0.900,visual,0.627,social_post,,GlobalNews,
stim_383,113,GlobalNews,T_WEATHER,T_WEATHER update from GlobalNews: signal -0.26,-0.256,0.010,0.050,"visual,emotion",0.639,video,CreatorF,GlobalNews,
stim_80,113,CityWire,T_LOCAL,T_LOCAL update from CityWire: signal +0.11,0.108,0.010,0.100,"tangible,visual",0.545,forum_thread,,CityWire,
stim_72,118,PublicRadio,T_SPORTS,T_SPORTS update from PublicRadio: signal +0.06,0.056,0.004,0.100,"visual,contrast",0.235,social_post,CreatorC,PublicRadio,
stim_596,119,MarketWatch,T_LOCAL,T_LOCAL update from MarketWatch: signal +0.40,0.398,0.037,0.100,,,news,,,Artists
stim_466,120,CommunityBoard,T_POLITICS,T_POLITICS update from CommunityBoard: signal -0.23,-0.226,0.135,0.900,memorable,0.424,social_post,,CommunityBoard,
stim_81,120,CityWire,T_WEATHER,T_WEATHER update from CityWire: signal +0.19,0.193,0.010,0.050,personal,0.515,social_post,,CityWire,
stim_224,125,GlobalNews,T_HEALTHCARE,T_HEALTHCARE update from GlobalNews: signal -0.26,-0.264,0.186,0.750,,,news,CreatorC,GlobalNews,Civic
stim_203,126,SecurityBrief,T_POLITICS,T_POLITICS update from SecurityBrief: signal +0.01,0.009,0.005,0.900,personal,0.474,longform,CreatorA,SecurityBrief,
stim_239,126,GlobalNews,T_SECURITY,T_SECURITY update from GlobalNews: signal +1.00,1.000,0.649,0.800,"contrast,emotion,personal",0.722,video,,GlobalNews,
stim_514,126,PolicyForum,T_EDUCATION,T_EDUCATION update from PolicyForum: signal +0.82,0.821,0.315,0.600,"tangible,memorable",0.325,meme,CreatorC,PolicyForum,
